"show_id";"type";"title";"director";"country";"date_added";"release_year";"rating";"duration";"listed_in"
"s1";"Movie";"Dick Johnson Is Dead";"Kirsten Johnson";"United States";"9/25/2021";2020;"PG-13";"90 min";"Documentaries"
"s3";"TV Show";"Ganglands";"Julien Leclercq";"France";"9/24/2021";2021;"TV-MA";"1 Season";"Crime TV Shows, International TV Shows, TV Action & Adventure"
"s6";"TV Show";"Midnight Mass";"Mike Flanagan";"United States";"9/24/2021";2021;"TV-MA";"1 Season";"TV Dramas, TV Horror, TV Mysteries"
"s14";"Movie";"Confessions of an Invisible Girl";"Bruno Garotti";"Brazil";"9/22/2021";2021;"TV-PG";"91 min";"Children & Family Movies, Comedies"
"s8";"Movie";"Sankofa";"Haile Gerima";"United States";"9/24/2021";1993;"TV-MA";"125 min";"Dramas, Independent Movies, International Movies"
"s9";"TV Show";"The Great British Baking Show";"Andy Devonshire";"United Kingdom";"9/24/2021";2021;"TV-14";"9 Seasons";"British TV Shows, Reality TV"
"s10";"Movie";"The Starling";"Theodore Melfi";"United States";"9/24/2021";2021;"PG-13";"104 min";"Comedies, Dramas"
"s939";"Movie";"Motu Patlu in the Game of Zones";"Suhas Kadav";"India";"5/1/2021";2019;"TV-Y7";"87 min";"Children & Family Movies, Comedies, Music & Musicals"
"s13";"Movie";"Je Suis Karl";"Christian Schwochow";"Germany";"9/23/2021";2021;"TV-MA";"127 min";"Dramas, International Movies"
"s940";"Movie";"Motu Patlu in Wonderland";"Suhas Kadav";"India";"5/1/2021";2013;"TV-Y7";"76 min";"Children & Family Movies, Music & Musicals"
"s941";"Movie";"Motu Patlu: Deep Sea Adventure";"Suhas Kadav";"India";"5/1/2021";2014;"TV-Y7";"76 min";"Children & Family Movies, Comedies"
"s942";"Movie";"Motu Patlu: Mission Moon";"Suhas Kadav";"India";"5/1/2021";2013;"TV-Y7";"71 min";"Children & Family Movies, Comedies"
"s852";"Movie";"99 Songs (Tamil)";"Not Given";"Pakistan";"5/21/2021";2021;"TV-14";"131 min";"Dramas, International Movies, Music & Musicals"
"s471";"Movie";"Bridgerton - The Afterparty";"Krysia Plonka, Kristian Mercado";"United States";"7/13/2021";2021;"TV-14";"39 min";"Movies"
"s730";"Movie";"Bling Empire - The Afterparty";"Krysia Plonka, Kristian Mercado";"United States";"6/12/2021";2021;"TV-MA";"36 min";"Movies"
"s731";"Movie";"Cobra Kai - The Afterparty";"Krysia Plonka, Kristian Mercado";"United States";"6/12/2021";2021;"TV-MA";"34 min";"Movies"
"s913";"Movie";"The Circle - The Afterparty";"Krysia Plonka, Kristian Mercado";"United States";"5/7/2021";2021;"TV-14";"35 min";"Comedies"
"s4";"TV Show";"Jailbirds New Orleans";"Not Given";"Pakistan";"9/24/2021";2021;"TV-MA";"1 Season";"Docuseries, Reality TV"
"s15";"TV Show";"Crime Stories: India Detectives";"Not Given";"Pakistan";"9/22/2021";2021;"TV-MA";"1 Season";"British TV Shows, Crime TV Shows, Docuseries"
"s3232";"Movie";"True: Winter Wishes";"Mark Thornton, Todd Kauffman";"United States";"11/26/2019";2019;"TV-Y";"46 min";"Children & Family Movies"
"s4832";"TV Show";"True: Magical Friends";"Mark Thornton, Todd Kauffman";"United States";"6/15/2018";2018;"TV-Y";"1 Season";"Kids' TV"
"s4833";"TV Show";"True: Wonderful Wishes";"Mark Thornton, Todd Kauffman";"United States";"6/15/2018";2018;"TV-Y";"1 Season";"Kids' TV"
"s4857";"TV Show";"Dance & Sing with True";"Mark Thornton, Todd Kauffman";"United States";"5/18/2018";2018;"TV-Y";"1 Season";"Kids' TV"
"s7";"Movie";"My Little Pony: A New Generation";"Robert Cullen, José Luis Ucha";"Not Given";"9/24/2021";2021;"PG";"91 min";"Children & Family Movies"
"s12";"TV Show";"Bangkok Breaking";"Kongkiat Komesiri";"Not Given";"9/23/2021";2021;"TV-MA";"1 Season";"Crime TV Shows, International TV Shows, TV Action & Adventure"
